0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0
2,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0
9,1,0,10,0,2,2,0,0,1,0,26,0,0,0,2,0,1,5,0,375,1,0,0,0,0,0,5,0,0,0
9,1,0,14,0,5,4,1,1,2,1,26,0,0,1,2,1,5,10,4,461,4,0,1,0,1,2,6,0,0,1
20,2,0,26,3,15,5,1,15,9,1,53,13,2,9,7,2,9,43,5,549,9,1,5,0,3,3,27,3,0,4
33,5,2,36,4,28,8,3,39,21,6,78,23,3,18,18,8,32,62,8,729,43,4,10,0,4,12,57,5,0,9
40,11,7,51,4,44,10,4,60,39,9,98,33,4,31,36,13,83,104,22,1052,69,7,18,0,5,19,75,22,1,15
53,19,11,68,6,69,14,7,70,63,13,146,46,5,47,48,18,128,128,31,1423,100,14,56,0,7,22,110,22,4,21
60,26,13,80,8,90,23,11,106,87,20,188,51,10,70,72,33,168,173,31,2714,143,19,59,0,9,27,132,35,6,30
80,51,16,91,9,108,24,12,152,121,27,241,58,13,99,109,48,206,296,43,3554,221,24,83,0,9,36,147,46,6,37
101,70,0,114,14,142,27,0,200,145,35,311,0,14,129,162,65,278,428,0,4586,277,26,101,0,12,41,165,63,6,43
128,80,20,132,14,177,30,21,237,178,39,393,87,17,168,240,82,352,537,49,5806,332,29,120,0,15,45,206,87,8,59
153,91,23,156,17,207,32,26,297,202,47,520,100,18,202,286,96,422,599,0,7153,389,35,144,1,29,60,238,101,9,80
177,99,27,183,23,231,41,28,340,225,56,604,111,21,236,333,104,493,661,64,9074,463,40,159,1,38,64,262,116,9,95
193,109,34,212,31,254,48,31,408,246,66,683,127,24,271,391,113,556,724,70,11177,521,51,179,1,46,70,300,128,13,118
208,117,35,228,42,282,63,34,480,270,74,797,139,29,308,476,126,675,829,80,13522,593,55,194,1,56,74,337,142,15,155
233,122,42,228,54,301,67,34,530,298,81,870,150,32,341,548,135,764,895,89,16678,661,57,205,1,64,81,366,165,17,190
254,128,46,274,59,321,69,40,591,343,90,944,168,36,373,600,157,851,954,106,19665,711,62,215,1,69,89,389,173,18,227
269,135,50,297,65,344,79,43,665,379,96,1018,172,39,408,661,171,914,1006,111,22112,772,67,224,1,77,95,411,184,18,227
281,138,50,315,69,363,88,45,733,407,104,1075,183,42,439,698,195,981,1048,123,24953,803,71,239,1,89,96,426,195,18,227
292,140,52,326,78,386,88,45,779,435,115,1120,195,45,468,740,206,1033,1075,128,27100,838,79,250,1,96,105,446,208,18,307
295,141,58,337,80,405,91,49,830,459,119,1151,210,49,492,771,218,1073,1092,136,29631,879,83,261,1,109,107,468,213,18,331
302,149,58,342,81,417,95,53,860,486,122,1177,215,55,515,804,239,1105,1117,142,31728,912,86,267,1,118,108,486,219,18,360
311,141,58,352,81,436,106,58,889,497,124,1219,222,59,543,844,251,1135,1131,145,32767,946,86,272,1,131,116,509,219,18,378
313,156,60,366,81,451,112,64,910,506,126,1241,222,63,570,872,265,1169,1145,157,32767,968,90,279,0,135,116,518,225,18,395
315,156,61,366,84,451,117,64,910,509,126,1241,222,63,570,872,265,1169,1145,157,48206,968,90,279,1,135,117,525,229,18,395
318,162,65,372,86,463,120,67,934,523,126,1261,226,65,593,900,283,1184,1155,159,51986,988,90,281,1,140,119,532,230,18,419
326,168,68,375,88,470,122,70,950,532,127,1294,235,70,604,913,291,1212,1162,162,54406,1001,90,285,1,143,119,538,232,18,425
328,171,70,380,89,481,124,70,962,537,128,1316,237,71,617,925,300,1231,1167,162,56249,1004,90,287,1,144,121,547,236,18,445
332,171,72,381,89,495,125,70,973,541,129,1322,238,75,626,930,301,1246,1171,163,58182,1006,91,290,1,146,121,552,240,18,457
333,172,73,387,89,508,128,70,982,543,130,1328,242,76,629,933,302,1257,1172,163,59989,1007,91,292,1,146,121,553,240,18,464
333,173,75,393,90,514,130,71,986,544,131,1331,244,76,631,934,306,1262,1174,163,61682,1008,91,293,1,146,121,553,242,18,470
334,173,75,395,91,520,131,71,987,546,131,1332,245,76,631,934,307,1265,1175,168,62031,1010,91,293,1,146,121,560,244,18,476
334,174,75,396,91,525,132,71,988,751,132,1333,246,76,631,934,308,1267,1169,168,62754,1011,91,293,1,146,121,567,245,18,479
335,174,75,399,91,526,135,71,989,750,132,1339,249,76,631,934,309,1270,1169,168,63233,1013,91,293,1,146,121,572,245,18,479
335,174,75,399,91,526,135,71,989,754,132,1342,249,76,631,934,311,1271,1169,168,63831,1016,91,293,1,146,121,573,245,18,480
335,174,75,399,93,527,135,71,989,755,132,1345,251,76,631,934,311,1271,1169,168,64287,1016,91,293,1,146,121,575,245,18,480
336,174,75,400,93,529,135,71,989,756,133,1347,252,76,631,934,311,1271,1169,168,64786,1016,91,294,1,146,121,575,245,18,480
336,174,75,400,93,531,135,71,989,756,133,1347,252,76,631,934,312,1271,1169,168,65187,1016,91,294,1,146,121,575,245,18,480
337,174,75,410,93,534,135,72,989,756,133,1347,252,76,631,934,317,1272,1169,168,65596,1017,91,296,1,146,121,575,245,18,480
337,174,75,410,93,538,136,72,990,756,133,1348,252,76,631,935,318,1272,1169,168,65914,1017,91,296,1,146,121,575,245,18,480
337,174,75,411,93,538,136,73,990,756,133,1349,252,76,631,935,318,1272,1205,168,66337,1018,91,296,1,146,121,576,245,18,480
337,174,75,411,93,538,136,73,990,758,133,1349,252,76,631,935,318,1272,1205,168,66907,1018,91,296,1,146,122,576,245,18,480
337,174,75,412,93,538,136,74,990,758,133,1350,252,76,631,935,318,1272,1205,168,67103,1018,91,296,1,146,122,576,245,18,480
338,174,75,412,93,538,136,74,990,758,133,1350,252,76,631,935,318,1272,1213,168,67217,1018,91,296,1,146,125,576,245,18,480
338,174,75,413,93,538,136,75,990,758,133,1350,252,76,631,935,318,1272,1213,168,67332,1018,91,296,1,146,125,576,245,18,480
338,174,75,414,93,539,136,75,990,758,133,1351,252,76,631,935,318,1272,1215,168,67466,1018,91,296,1,146,125,576,245,18,481
338,174,75,414,93,539,136,75,990,758,133,1352,252,76,631,935,318,1272,1215,168,67592,1018,91,296,1,146,125,576,245,18,481
338,174,75,415,93,539,136,75,990,758,133,1352,252,76,631,935,318,1272,1215,168,67666,1018,91,296,1,146,125,576,245,18,481
338,174,75,415,93,539,136,75,990,758,133,1352,252,76,631,935,318,1272,1215,168,67707,1018,91,296,1,146,125,576,245,18,481
338,174,75,415,93,539,136,75,990,758,133,1352,252,76,631,935,318,1272,1215,168,67743,1018,91,296,1,146,125,576,245,18,481
338,174,75,415,93,539,136,75,990,758,133,1353,252,76,631,935,318,1272,1215,168,67760,1018,91,296,1,146,125,576,245,18,481
338,174,75,415,93,539,136,75,990,759,133,1356,252,76,631,935,318,1273,1215,168,67773,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,539,136,75,990,759,133,1356,252,76,631,935,318,1273,1215,168,67781,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,539,136,75,990,759,133,1356,252,76,631,935,318,1273,1215,168,67786,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,539,136,75,990,759,133,1356,252,76,631,935,318,1272,1227,168,67790,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,539,136,75,990,759,133,1360,252,76,631,935,318,1272,1231,168,67794,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,539,136,75,990,759,133,1361,252,76,631,935,318,1272,1231,168,67798,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,540,136,75,990,759,133,1364,252,76,631,935,318,1272,1232,168,67799,1018,91,296,1,147,125,576,245,18,482
338,174,75,415,93,540,136,75,990,759,133,1370,252,76,631,935,318,1272,1232,168,67800,1018,91,296,1,146,125,576,245,18,482
338,174,75,415,93,540,136,75,990,759,133,1378,252,76,631,935,318,1272,1233,168,67800,1018,91,296,1,146,125,576,245,18,483
338,174,75,415,93,541,136,75,990,759,133,1392,252,76,631,935,318,1272,1234,168,67800,1018,91,296,1,146,125,576,245,18,482
